Timestamp,CPU-Usage
15.07.2021 16:55:00,153
15.07.2021 17:00:00,151
15.07.2021 17:05:00,148
15.07.2021 17:10:00,153
15.07.2021 17:15:00,157
15.07.2021 17:20:00,153
15.07.2021 17:25:00,159
15.07.2021 17:30:00,159
15.07.2021 17:35:00,151
15.07.2021 17:40:00,152
15.07.2021 17:45:00,150
15.07.2021 17:50:00,150
15.07.2021 17:55:00,153
15.07.2021 18:00:00,150
15.07.2021 18:05:00,162
15.07.2021 18:10:00,153
15.07.2021 18:15:00,158
15.07.2021 18:20:00,152
15.07.2021 18:25:00,154
15.07.2021 18:30:00,175
15.07.2021 18:35:00,199
15.07.2021 18:40:00,154
15.07.2021 18:45:00,149
15.07.2021 18:50:00,152
15.07.2021 18:55:00,173
15.07.2021 19:00:00,151
15.07.2021 19:05:00,189
15.07.2021 19:10:00,167
15.07.2021 19:15:00,179
15.07.2021 19:20:00,152
15.07.2021 19:25:00,157
15.07.2021 19:30:00,162
15.07.2021 19:35:00,151
15.07.2021 19:40:00,151
15.07.2021 19:45:00,152
15.07.2021 19:50:00,152
15.07.2021 19:55:00,153
15.07.2021 20:00:00,152
15.07.2021 20:05:00,166
15.07.2021 20:10:00,152
15.07.2021 20:15:00,162
15.07.2021 20:20:00,153
15.07.2021 20:25:00,153
15.07.2021 20:30:00,167
15.07.2021 20:35:00,160
15.07.2021 20:40:00,156
15.07.2021 20:45:00,159
15.07.2021 20:50:00,153
15.07.2021 20:55:00,162
15.07.2021 21:00:00,154
15.07.2021 21:05:00,152
15.07.2021 21:10:00,154
15.07.2021 21:15:00,152
15.07.2021 21:20:00,153
15.07.2021 21:25:00,159
15.07.2021 21:30:00,161
15.07.2021 21:35:00,151
15.07.2021 21:40:00,153
15.07.2021 21:45:00,161
15.07.2021 21:50:00,152
15.07.2021 21:55:00,159
15.07.2021 22:00:00,152
15.07.2021 22:05:00,154
15.07.2021 22:10:00,155
15.07.2021 22:15:00,159
15.07.2021 22:20:00,152
15.07.2021 22:25:00,154
15.07.2021 22:30:00,176
15.07.2021 22:35:00,169
15.07.2021 22:40:00,154
15.07.2021 22:45:00,152
15.07.2021 22:50:00,153
15.07.2021 22:55:00,153
15.07.2021 23:00:00,152
15.07.2021 23:05:00,159
15.07.2021 23:10:00,153
15.07.2021 23:15:00,153
15.07.2021 23:20:00,194
15.07.2021 23:25:00,176
15.07.2021 23:30:00,165
15.07.2021 23:35:00,153
15.07.2021 23:40:00,153
15.07.2021 23:45:00,161
15.07.2021 23:50:00,153
15.07.2021 23:55:00,154
16.07.2021 00:00:00,153
16.07.2021 00:05:00,146
16.07.2021 00:10:00,147
16.07.2021 00:15:00,153
16.07.2021 00:20:00,149
16.07.2021 00:25:00,160
16.07.2021 00:30:00,160
16.07.2021 00:35:00,150
16.07.2021 00:40:00,149
16.07.2021 00:45:00,153
16.07.2021 00:50:00,154
16.07.2021 00:55:00,162
16.07.2021 01:00:00,164
16.07.2021 01:05:00,157
16.07.2021 01:10:00,151
16.07.2021 01:15:00,147
16.07.2021 01:20:00,146
16.07.2021 01:25:00,148
16.07.2021 01:30:00,157
16.07.2021 01:35:00,156
16.07.2021 01:40:00,153
16.07.2021 01:45:00,153
16.07.2021 01:50:00,152
16.07.2021 01:55:00,153
16.07.2021 02:00:00,153
16.07.2021 02:05:00,161
16.07.2021 02:10:00,155
16.07.2021 02:15:00,153
16.07.2021 02:20:00,154
16.07.2021 02:25:00,161
16.07.2021 02:30:00,162
16.07.2021 02:35:00,159
16.07.2021 02:40:00,154
16.07.2021 02:45:00,158
16.07.2021 02:50:00,155
16.07.2021 02:55:00,154
16.07.2021 03:00:00,153
16.07.2021 03:05:00,153
16.07.2021 03:10:00,153
16.07.2021 03:15:00,156
16.07.2021 03:20:00,154
16.07.2021 03:25:00,177
16.07.2021 03:30:00,189
16.07.2021 03:35:00,147
16.07.2021 03:40:00,153
16.07.2021 03:45:00,159
16.07.2021 03:50:00,152
16.07.2021 03:55:00,157
16.07.2021 04:00:00,155
16.07.2021 04:05:00,164
16.07.2021 04:10:00,147
16.07.2021 04:15:00,153
16.07.2021 04:20:00,153
16.07.2021 04:25:00,707
16.07.2021 04:30:00,162
16.07.2021 04:35:00,153
16.07.2021 04:40:00,154
16.07.2021 04:45:00,154
16.07.2021 04:50:00,153
16.07.2021 04:55:00,161
16.07.2021 05:00:00,156
16.07.2021 05:05:00,163
16.07.2021 05:10:00,155
16.07.2021 05:15:00,156
16.07.2021 05:20:00,158
16.07.2021 05:25:00,157
16.07.2021 05:30:00,162
16.07.2021 05:35:00,160
16.07.2021 05:40:00,154
16.07.2021 05:45:00,160
16.07.2021 05:50:00,153
16.07.2021 05:55:00,160
16.07.2021 06:00:00,154
16.07.2021 06:05:00,154
16.07.2021 06:10:00,153
16.07.2021 06:15:00,161
16.07.2021 06:20:00,157
16.07.2021 06:25:00,160
16.07.2021 06:30:00,162
16.07.2021 06:35:00,150
16.07.2021 06:40:00,153
16.07.2021 06:45:00,159
16.07.2021 06:50:00,154
16.07.2021 06:55:00,162
16.07.2021 07:00:00,154
16.07.2021 07:05:00,161
16.07.2021 07:10:00,155
16.07.2021 07:15:00,154
16.07.2021 07:20:00,154
16.07.2021 07:25:00,162
16.07.2021 07:30:00,165
16.07.2021 07:35:00,153
16.07.2021 07:40:00,154
16.07.2021 07:45:00,153
16.07.2021 07:50:00,154
16.07.2021 07:55:00,161
16.07.2021 08:00:00,153
16.07.2021 08:05:00,154
16.07.2021 08:10:00,154
16.07.2021 08:15:00,159
16.07.2021 08:20:00,154
16.07.2021 08:25:00,161
16.07.2021 08:30:00,161
16.07.2021 08:35:00,161
16.07.2021 08:40:00,155
16.07.2021 08:45:00,164
16.07.2021 08:50:00,157
16.07.2021 08:55:00,155
16.07.2021 09:00:00,153
16.07.2021 09:05:00,160
16.07.2021 09:10:00,152
16.07.2021 09:15:00,151
16.07.2021 09:20:00,153
16.07.2021 09:25:00,154
16.07.2021 09:30:00,160
16.07.2021 09:35:00,158
16.07.2021 09:40:00,153
16.07.2021 09:45:00,154
16.07.2021 09:50:00,153
16.07.2021 09:55:00,155
16.07.2021 10:00:00,155
16.07.2021 10:05:00,153
16.07.2021 10:10:00,154
16.07.2021 10:15:00,151
16.07.2021 10:20:00,154
16.07.2021 10:25:00,155
16.07.2021 10:30:00,165
16.07.2021 10:35:00,152
16.07.2021 10:40:00,152
16.07.2021 10:45:00,152
16.07.2021 10:50:00,155
16.07.2021 10:55:00,162
16.07.2021 11:00:00,153
16.07.2021 11:05:00,160
16.07.2021 11:10:00,154
16.07.2021 11:15:00,153
16.07.2021 11:20:00,153
16.07.2021 11:25:00,154
16.07.2021 11:30:00,164
16.07.2021 11:35:00,153
16.07.2021 11:40:00,155
16.07.2021 11:45:00,174
16.07.2021 11:50:00,188
16.07.2021 11:55:00,162
16.07.2021 12:00:00,153
16.07.2021 12:05:00,152
16.07.2021 12:10:00,154
16.07.2021 12:15:00,159
16.07.2021 12:20:00,154
16.07.2021 12:25:00,153
16.07.2021 12:30:00,161
16.07.2021 12:35:00,152
16.07.2021 12:40:00,152
16.07.2021 12:45:00,165
16.07.2021 12:50:00,157
16.07.2021 12:55:00,156
16.07.2021 13:00:00,156
16.07.2021 13:05:00,162
16.07.2021 13:10:00,155
16.07.2021 13:15:00,163
16.07.2021 13:20:00,155
16.07.2021 13:25:00,161
16.07.2021 13:30:00,160
16.07.2021 13:35:00,162
16.07.2021 13:40:00,156
16.07.2021 13:45:00,163
16.07.2021 13:50:00,157
16.07.2021 13:55:00,154
16.07.2021 14:00:00,152
16.07.2021 14:05:00,153
16.07.2021 14:10:00,157
16.07.2021 14:15:00,161
16.07.2021 14:20:00,153
16.07.2021 14:25:00,165
16.07.2021 14:30:00,180
16.07.2021 14:35:00,173
16.07.2021 14:40:00,155
16.07.2021 14:45:00,153
16.07.2021 14:50:00,155
16.07.2021 14:55:00,153
16.07.2021 15:00:00,153
16.07.2021 15:05:00,160
16.07.2021 15:10:00,156
16.07.2021 15:15:00,160
16.07.2021 15:20:00,153
16.07.2021 15:25:00,153
16.07.2021 15:30:00,165
16.07.2021 15:35:00,151
16.07.2021 15:40:00,153
16.07.2021 15:45:00,160
16.07.2021 15:50:00,153
16.07.2021 15:55:00,155
16.07.2021 16:00:00,154
16.07.2021 16:05:00,159
16.07.2021 16:10:00,153
16.07.2021 16:15:00,153
16.07.2021 16:20:00,153
16.07.2021 16:25:00,161
16.07.2021 16:30:00,161
16.07.2021 16:35:00,159
16.07.2021 16:40:00,153
16.07.2021 16:45:00,153
16.07.2021 16:50:00,153
16.07.2021 16:55:00,154
16.07.2021 17:00:00,152
16.07.2021 17:05:00,149
16.07.2021 17:10:00,154
16.07.2021 17:15:00,158
16.07.2021 17:20:00,154
16.07.2021 17:25:00,160
16.07.2021 17:30:00,160
16.07.2021 17:35:00,152
16.07.2021 17:40:00,153
16.07.2021 17:45:00,151
16.07.2021 17:50:00,151
16.07.2021 17:55:00,154
16.07.2021 18:00:00,151
16.07.2021 18:05:00,163
16.07.2021 18:10:00,154
16.07.2021 18:15:00,159
16.07.2021 18:20:00,153
16.07.2021 18:25:00,155
16.07.2021 18:30:00,176
16.07.2021 18:35:00,200
16.07.2021 18:40:00,155
16.07.2021 18:45:00,150
16.07.2021 18:50:00,153
16.07.2021 18:55:00,174
16.07.2021 19:00:00,152
16.07.2021 19:05:00,190
16.07.2021 19:10:00,168
16.07.2021 19:15:00,180
16.07.2021 19:20:00,153
16.07.2021 19:25:00,158
16.07.2021 19:30:00,163
16.07.2021 19:35:00,152
16.07.2021 19:40:00,152
16.07.2021 19:45:00,153
16.07.2021 19:50:00,153
16.07.2021 19:55:00,154
16.07.2021 20:00:00,153
16.07.2021 20:05:00,167
16.07.2021 20:10:00,153
16.07.2021 20:15:00,163
16.07.2021 20:20:00,154
16.07.2021 20:25:00,154
16.07.2021 20:30:00,168
16.07.2021 20:35:00,161
16.07.2021 20:40:00,157
16.07.2021 20:45:00,160
16.07.2021 20:50:00,154
16.07.2021 20:55:00,163
16.07.2021 21:00:00,155
16.07.2021 21:05:00,153
16.07.2021 21:10:00,155
16.07.2021 21:15:00,153
16.07.2021 21:20:00,154
16.07.2021 21:25:00,160
16.07.2021 21:30:00,162
16.07.2021 21:35:00,152
16.07.2021 21:40:00,154
16.07.2021 21:45:00,162
16.07.2021 21:50:00,153
16.07.2021 21:55:00,160
16.07.2021 22:00:00,153
16.07.2021 22:05:00,155
16.07.2021 22:10:00,156
16.07.2021 22:15:00,160
16.07.2021 22:20:00,153
16.07.2021 22:25:00,155
16.07.2021 22:30:00,177
16.07.2021 22:35:00,170
16.07.2021 22:40:00,155
16.07.2021 22:45:00,153
16.07.2021 22:50:00,154
16.07.2021 22:55:00,154
16.07.2021 23:00:00,153
16.07.2021 23:05:00,160
16.07.2021 23:10:00,154
16.07.2021 23:15:00,154
16.07.2021 23:20:00,195
16.07.2021 23:25:00,177
16.07.2021 23:30:00,166
16.07.2021 23:35:00,154
16.07.2021 23:40:00,154
16.07.2021 23:45:00,162
16.07.2021 23:50:00,154
16.07.2021 23:55:00,155
